ID,Name,Description,Allergens,Protein (g),Fat (g),Carbs (g),Energy (kcal)
185,Qrand Çiz (ət),"Qrand Çiz burgerin tərkibi: küncütlü brioş bulka, 100% mal ətindən döyülmüş bifşteks, Emmental & Cheddar pendirləri, aysberq salatı, qızardılmış soğan və pendir sous.",,,,,
186,Qrand Çiz (toyuq),"Qrand Çiz burgerin tərkibi: küncütlü brioş bulka, toyuq filesi, Emmental & Cheddar pendirləri, aysberq salatı, qızardılmış soğan və pendir sous.",,,,,
187,Çiz Delüks mini,"Çiz Delüks mini burgerin tərkibi: karamelləşdirilmiş bulka, 100% mal ətindən döyülmüş bifşteks, pendir kotletı, soğan, duzlu xiyar dilimləri və xüsüsi sous.Çiz Delüks mini burgerin tərkibi: karamelləşdirilmiş bulka, 100% mal ətindən döyülmüş bifşteks, pendir kotletı, soğan, duzlu xiyar dilimləri və xüsüsi sous.",,,,,
188,Bif Freş,"Karamelləşdirilmiş küncütlü bulkanın arasında 100% mal ətindən döyülmüş bifşteks, 1 ədəd Çedder pendirinin dilimi, xüsusi sousu, təzə soğan, təzə Aysberq salatı, xıyar və pomidor dilimləri.","Xardal, Süd, Kərəviz, Yumurta, Qlüten, Küncüt tumları.",,,,
189,Çiken Freş,"Karamelləşdirilmiş bulkanın arasında suxarıya batırılmış, qızardılmış toyuq kotleti, təzə Aysberq salatı, xüsusi sousu, pomidor dilimi və xıyar.","Xardal, Süd, Kərəviz, Yumurta, Qlüten, Küncüt tumları.",,,,
190,Fiş Freş,"Yumşaq bulkanın arasında qızardılmış balıq filesi, təzə Aysberq salatı, xüsusi sousu və pomidor dilimi.","Xardal, Süd, Soya, Yumurta, Qlüten, Balıq.",,,,
191,"Fiş Bayts
                                                                (10 əd.)",Qızardılmış xırçıldayan balıq filesinin dilimləri (xordalılar sinfi).,,,,,
192,Habanero bif,"Habanero burgerin tərkibi: küncütlü brioş bulka, 100% mal ətindən döyülmüş bifşteks, emmental pendirinin dilimi, aysberq salatı, qızardılmış soğan, təzə pomidor dilimi və habanero sous.",,,,,
193,Habanero çiken,"Habanero burgerin tərkibi: küncütlü brioş bulka, toyuq filesi, emmental pendirinin dilimi, aysberq salatı, qızardılmış soğan, təzə pomidor dilimi və habanero sous.",,,,,
194,Dabl Çikenburger,Təzə kahı və xüsusi McChicken™ sousu ilə dadlandırılmış və karamelli bulkada verilən suxarıya batırılmış qızardılmış toyuq kotleti.,"Xardal, Yumurta, Qlüten.",24,32,82,720
195,Dabl Big Tasty™ (Ət),"Həcmli küncütlü bulka arasında 2 ədəd böyük, 100% mal ətindən döyülmüş bifşteks olan burger. Üç dilim Emmental pendiri, iki dilim təzə pomidor, Aysberq salatı, təzə soğan və “Qril” sousu ona xüsusi dad verir.","Süd, Yumurta, Qlüten, Küncüt tumları.",76,30,50,1114
196,Dabl Big Tasty™ (Toyuq),"Həcmli küncütlü bulka arasında toyuqdan olan 2 ədəd kotlet. Üç dilim Emmental pendiri, iki dilim təzə pomidor, Aysberq salatı, təzə soğan və “Qril” sousu ona xüsusi dad verir.","Süd, Yumurta, Qlüten, Küncüt tumları.",76,30,50,1114
197,Şokoladlı Frappe,Südlü və xoş şokolad dadlı soyuq içki.,"Fındıq, Süd, Soya, Qlüten, Yumurta.",13,4,67,355
198,Karamelli Frappe,Karamel və qəhvə dadına malik dadlı soyuq içki. Üstü çalınmış qaymaq və karamelli sous ilə bəzədilib.,"Fındıq, Süd, Soya, Qlüten, Yumurta.",8,20,70,490
199,Çiyələkli Smuzi,McCafé® resepti ilə hazırlanmış çiyələkli smuzi süd və buz ilə qarışdırılmış çiyələk püresi və qaymaqlı yoğurtun ləzzətli birləşməsidir.,"Fındıq, Süd, Soya, Qlüten, Yumurta.",2,1,28,131
200,Smuzi Marakuya,McCafé® resepti ilə hazırlanmış marakuyalı smuzi süd və buz ilə qarışdırılmış marakuya püresi və qaymaqlı yoğurtun ləzzətli birləşməsidir.,"Fındıq, Süd, Soya, Qlüten, Yumurta.",5,0,82,350
201,Smuzi Qaragilə,McCafé® resepti ilə hazırlanmış qaragiləli smuzi süd və buz ilə qarışdırılmış qaragilə püresi və qaymaqlı yoğurtun ləzzətli birləşməsidir.,"Fındıq, Süd, Soya, Qlüten, Yumurta.",4,3,25,146
202,Limonad Qreypfrut,Qreypfrut dadlı sərinləşdirici qazlı içki.,,,,,
203,Limonad Çiyələk,Çiyələk dadlı sərinləşdirici qazlı içki.,,,,,
204,"Südlü Kokteyl (Banan)
                                                                (0.25L)","Yüksək keyfiyyətli, təzə süd və sirop qarışığından hazırlanmış qatı və ətirli kokteyl.",Süd.,5,3,33,188
205,"Südlü Kokteyl (Banan)
                                                                (0.4L)","Yüksək keyfiyyətli, təzə süd və sirop qarışığından hazırlanmış qatı və ətirli kokteyl.",Süd.,5,3,33,188
206,"Südlü Kokteyl (Banan)
                                                                (0.5L)","Yüksək keyfiyyətli, təzə süd və sirop qarışığından hazırlanmış qatı və ətirli kokteyl.",Süd.,5,3,33,188
207,Çiken Bayts (10 əd.),"Fritürda, unda qızardılmış xırçıldayan acılı toyuq filesinin dilimləri.","Süd, Qlüten, Kərəviz, Yumurta.",17,18,12,279
208,Şaurma Roll,"Lavaşda xüsüsi sousun əlavəsi ilə suxarıya batırılmış, qızardılmış toyuq filesi, kartof və turşu xiyar.","Sülfidlər, Xardal, Yumurta, Kərəvizç Qlüten.",13,16,23,390
209,McFlurry™ (Albalı Kit-Kat™),"Kit-Kat™ və Albalı əlavəli, təbii, üzlü süddən hazırlanmış yumşaq qaymaqlı dondurma.","Fındıq, Süd, Soya, Qlüten.",6,8,50,300
210,MakSandey Babl Qam,"Təbii, üzlü süddən hazırlanmış Babl Qam dolğulu dondurma.","Süd, Soya, Qlüten.",5,4,48,250
211,Profitrol (ağ kremli),Ağ şokolad profiterolları şokolad ətirli krem ​​və şokolad lopaları ilə örtülmüşdür.,Fındıq.,2,20,24,294
212,Profitrol (şokoladlı),Şokolad profiterolları ətirli krem ilə.,"Fındıq, Soya.",3,20,25,295
213,McPops™  (şokoladlı),Şokolad içlikli yüngül ponçiklər.,"Süd, Soya, Yumurta, Qlüten, Fındıq, Küncüt..",6,33,46,509
214,McPops™  (südlü karamelli),Südlü karamelli içlikli yüngül ponçiklər.,"Süd, Soya, Yumurta, Qlüten, Fındıq.",6,34,48,529
215,McPops™  (giləmeyvə),Giləmeyvə içlikli yüngül ponçiklər.,"Süd, Soya, Yumurta, Qlüten, Fındıq, Küncüt.",5,24,45,417
216,McCrispy™,"Küncütlü bulkanın arasında 100% toyuq filesindən xırtıldayan kotlet, təzə Aysberq salatı və ranç sousu.","Süd, Yumurta, Qlüten, Küncüt tumları.",26,18,53,484
217,"Toyuq qanadları
                                                                (8 əd.)",Ədviyyəli və qədərində xırçıltılı toyuq qanadları.,Qlüten.,17,14,19,268
218,Maestro burger,"Küncütlü bulka arasında 100% mal ətindən bifşteks, Emmental pendiri, təzə pomidor, duzlu xiyar, aysberq salatı, qızarılmış göbələk, qızarılmış soğan və “deluxe” sousu ona xüsusi dad verir.","Xardal ,Yumurta, Süd, Küncüt , Glüten.",32,33,49,623
219,"Çiken strips
                                                                (3 əd.)","Xüsusi tamlı, acılı və xırçaldayan çiken stripslər.",Qlüten.,17,12,23,270
220,"Çiken strips
                                                                (5 əd.)","Xüsusi tamlı, acılı və xırçaldayan çiken stripslər.",Qlüten.,17,12,23,270
221,Maffin,"Qızarmış  toyuq yumurtası, bir dilim pendir və isti-isti qızarmış Maffin bulkası.","Süd,  Yumurta, Qlüten, Küncüt tumları.",15,14,27,295
222,Maffin ət ilə,"100% mal ətindən döyülmüş bifşteks, qızarmış  toyuq yumurtası, bir dilim pendir və isti-isti qızarmış  Muffin bulkası.","Süd,  Yumurta, Qlüten, Küncüt tumları.",25,23,30,423
223,Dabl  Maffin ət ilə,"iki ədəd 100% mal ətindən döyülmüş bifşteks, qızarmış  toyuq yumurtası, bir dilim pendir və isti-isti qızarmış  Maffin bulkası.","Süd,  Yumurta, Qlüten, Küncüt tumları.",35,32,33,551
224,Omlet  Maffin,"Omlet, bir dilim pendir və isti-isti qızarmış Maffin bulkası.","Süd,  Yumurta, Qlüten, Küncüt tumları.",14,11,26,189
225,Omlet Maffin ət ilə,"100% təmiz mal ətindən kotlet, omlet, bir dilim pendir və isti-isti qızarmış  Maffin bulkası.","Süd,  Yumurta, Qlüten, Küncüt tumları.",22,24,29,405
226,Dabl Omlet  Maffin ət ilə,"100% mal ətindən döyülmüş bifşteks, omlet, bir dilim pendir və isti-isti qızarmış  Maffin bulkası.","Süd,  Yumurta, Qlüten, Küncüt tumları.",34,31,27,549
227,Omlet,"Omlet, yağ, isti-isti qızarmış  Maffin bulkası – boşqabda.","Süd,  Yumurta, Qlüten, Küncüt tumları.",,,,
228,Böyük Səhər yeməyi,"100% mal ətindən döyülmüş bifşteks, omlet, haşbraun, yağ və ya cem, isti-isti qızarmış  Maffin bulkası – boşqabda.","Süd,  Yumurta, Qlüten, Küncüt tumları.",,,,
229,Haşbraun,"Xırdalanmış haşbraun kartof kotleti – içi yumşaq, üstü isə xırtıltılı və qızarmış.","Süd, Qlüten.",1,7,24,172
230,Yağ (82.5%),Allergenlər: Süd.,Süd.,,,,
231,Bal,Maffin,,,,,
232,Cem,Maffin,,,,,
233,Çiken boks,"3 Toyuq qanadları, 3 Çiken strips, 10 Çiken Bayts , 6 Çiken McNuggets & 1 Frenç Frayz (Ekstra).","Kərəviz, Qlüten,",68,58,73,1085
234,Habanero sous  (40ml),"İştahaçan, ədviyyatlı sous.","Xardal, Yumurta.",0,31,8,313
235,Dor Blu sous (40ml),Dadlı və ətirli sous.,"Süd, Yumurta.",1,26,6,267
236,Şampinyon delüks (ət),"Karamelləşdirilmiş bulkanın arasında 100% mal ətindən döyülmüş bifşteks, qızarılmış göbələk,  Emmental pendiri, “deluxe” sousu və duzlu xiyar dilimləri.","Xardal ,Yumurta, Süd, Glüten.",32,33,49,623
237,Şampinyon delüks (toyuq),"Karamelləşdirilmiş bulkanın arasında qızardılmış toyuq kotleti, qızarılmış göbələk,  Emmental pendiri, “deluxe” sousu və duzlu xiyar dilimləri.","Xardal ,Yumurta, Süd, Kərəviz, Glüten.",33,32,64,679
238,Mini Tasty,,"Süd, Yumurta, Qlüten.",31,14,36,473
239,Dabl Mini Tasty,"Yumşaq bulka, 2 ədəd 100% mal ətindən bifşteks, 2 zərif emmental pendiri, təzə soğan və özəl tamlı ""Qril"" sousu.","Süd, Yumurta, Qlüten.",62,28,72,946
240,Acılı sous,Dadlı və ətirli sous,,0,0,11,47
241,Maestro Qrill Burger,"Qızardılmış Brioche bulka, 100% mal ətindən bifşteks, Emmental pendiri, turşu xiyarlar, xırtıldayan soğan, təzə kolslou qarışığı, göbələk sousu və hisə verilmiş qril sous.","Süd, Yumurta, Qlüten, Küncüt tumları, Xardal, Kərəviz",49,17,43,526
